Site,Group,Taxa,Cover,Notes
97,Coral,Porites_massive,65,
97,Coral,Montipora,15,
97,Coral,Pocillopora,15,
97,Coral,Millepora,5,
97,Macroalgae,Turbinaria,90,
97,Macroalgae,Sargassum,5,
97,Macroalgae,Halimeda,5,
99,Coral,Porites_rus,90,
99,Coral,Porites_massive,5,
99,Coral,Montipora,5,
99,Macroalgae,Caulerpa,30,
99,Macroalgae,Turbinaria,30,
99,Macroalgae,Dictyota,10,
99,Macroalgae,Halimeda,30,
100,Coral,Porites_massive,35,
100,Coral,Montipora,35,
100,Coral,Pocillopora,30,
100,Macroalgae,Turbinaria,75,
100,Macroalgae,Halimeda,10,
100,Macroalgae,Dictyota,10,
100,Macroalgae,Asparagopsis,5,
101,Coral,Porites_massive,50,
101,Coral,Montipora,20,
101,Coral,Pocillopora,20,
101,Coral,Porites_rus,10,
101,Macroalgae,Dictyota,20,
101,Macroalgae,Halimeda,20,
101,Macroalgae,Asparagopsis,10,
101,Macroalgae,Turbinaria,50,
103,Macroalgae,Turbinaria,30,
103,Macroalgae,Dictyota,30,
103,Macroalgae,Halimeda,30,
103,Macroalgae,Sargassum,10,
103,Coral,Montipora,40,
103,Coral,Porites_massive,30,
103,Coral,Porites_rus,30,
102,Coral,Porites_massive,70,
102,Coral,Montipora,20,
102,Coral,Pocillopora,10,
102,Macroalgae,Dictyota,50,
102,Macroalgae,Halimeda,30,
102,Macroalgae,Turbinaria,20,
104,Coral,Porites_massive,65,
104,Coral,Porites_rus,25,
104,Coral,Acropora_pulchra,5,
104,Coral,Montipora,5,
104,Macroalgae,Padina,15,
104,Macroalgae,Dictyota,15,
104,Macroalgae,Halimeda,35,
104,Macroalgae,Turbinaria,30,
104,Macroalgae,Caulerpa,5,
105,Coral,Porites_massive,55,
105,Coral,Montipora,40,
105,Coral,Pocillopora,5,
105,Macroalgae,Dictyota,30,
105,Macroalgae,Halimeda,30,
105,Macroalgae,Turbinaria,40,
106,Coral,Montipora,90,
106,Coral,Porites_rus,10,
106,Macroalgae,Dictyota,70,
106,Macroalgae,Halimeda,10,
106,Macroalgae,Turbinaria,20,
107,Coral,Pavona,25,
107,Coral,Montipora,35,
107,Coral,Porites_rus,10,
107,Coral,Pocillopora_acuta,15,
107,Coral,Acropora_pulchra,15,
107,Macroalgae,Dictyota,40,
107,Macroalgae,Turbinaria,40,
107,Macroalgae,Halimeda,20,
LTER_6_Fringe,Coral,Montipora,25,
LTER_6_Fringe,Coral,Pavona,30,
LTER_6_Fringe,Coral,Pocillopora_acuta,5,
LTER_6_Fringe,Coral,Acropora_cytherea,15,
LTER_6_Fringe,Coral,Acropora_pulchra,25,
LTER_6_Fringe,Macroalgae,Dictyota,40,
LTER_6_Fringe,Macroalgae,Halimeda,40,
LTER_6_Fringe,Macroalgae,Turbinaria,20,
47,Coral,Porites_massive,65,
47,Coral,Montipora,20,
47,Coral,Pocillopora,10,
47,Coral,Acropora,5,
47,Macroalgae,Turbinaria,10,
