Sample_ID,Site_Number,Weight_ug,Percent_C,Percent_H,Percent_N,C_to_N_ratio
1,1,2245,28.05,3.69,0.59,47.75
2,2,2962,31.32,4.39,0.50,62.89
3,3,2215,30.04,4.19,0.56,53.65
4,4,2146,30.31,4.20,0.50,60.03
5,5,2713,29.42,4.02,0.57,51.37
6,6,2276,30.08,4.05,0.53,56.38
7,7,2031,27.69,3.57,0.55,50.67
8,8,2190,28.33,3.74,0.60,47.52
9,9,2049,28.97,3.86,0.50,57.56
10,10,2555,30.24,4.21,0.47,64.31
11,11,2474,25.58,3.25,0.53,48
12,12,2585,28.97,3.95,0.56,52.14
13,13,2826,25.55,3.28,0.61,41.9
14,14,2437,28.71,3.77,0.56,51.52
16,16,1947,26.18,3.32,0.83,31.49
17,17,2646,27.75,3.53,0.61,45.73
18,18,2855,26.55,3.46,0.72,36.66
19,19,2149,30.02,4.13,0.57,52.77
20,20,2145,29.42,4.07,0.46,63.85
21,21,2516,28.49,3.79,0.67,42.4
22,22,2732,30.69,4.30,0.50,61.98
24,24,2825,28.29,3.80,0.63,44.85
25,25,2616,28.35,3.87,0.57,49.59
26,26,2071,26.81,3.51,0.57,47.43
27,27,2430,31.63,4.58,0.45,69.53
28,28,2450,33.25,4.88,0.51,65.25
29,29,2520,31.14,4.44,0.50,62.21
30,30,2675,31.26,4.48,0.54,57.93
31,31,2834,32.58,4.81,0.48,68.27
32,32,2762,28.60,3.91,0.60,47.46
33,33,2985,30.79,4.38,0.48,64.24
34,34,2501,27.93,3.72,0.45,62.46
35,35,2747,26.89,3.60,0.62,43.33
36,36,2218,24.96,3.26,0.66,37.65
37,37,2570,26.46,3.45,0.68,38.71
38,38,2470,27.72,3.64,0.55,50.59
39,39,2565,27.83,3.77,0.53,52.23
40,40,2700,27.78,3.71,0.58,48.03
41,41,2530,28.89,3.92,0.61,47.6
42,42,2611,27.75,3.73,0.50,55.67
43,43,2629,29.29,4.04,0.51,57.45
44,44,2504,29.15,3.96,0.50,57.82
45,45,2340,27.75,3.64,0.58,47.98
47,47,2490,30.08,4.14,0.53,56.99
48,48,2894,28.95,3.87,0.52,55.51
49,49,2266,28.97,3.86,0.63,46.29
50,50,3027,29.51,4.09,0.53,55.42
51,51,2476,25.68,3.35,0.70,36.78
52,52,2445,26.29,3.47,0.61,43.39
53,53,2715,25.88,3.42,0.60,42.91
54,54,2749,30.14,4.23,0.58,51.83
55,55,2450,27.87,3.78,0.61,45.69
56,56,2097,30.45,4.37,0.42,73.32
57,57,2840,29.92,4.34,0.48,62.28
58,58,2658,29.32,4.16,0.43,68.93
59,59,2804,29.67,4.17,0.46,64.65
60,60,2569,28.47,3.91,0.57,49.81
61,61,2617,27.46,3.57,0.48,57.61
62,62,2624,29.37,4.01,0.50,58.7
63,63,2405,28.74,4.02,0.47,61.13
64,64,2631,28.33,3.84,0.54,52.61
65,65,2186,25.96,3.44,0.57,45.49
66,66,2671,26.09,3.33,0.51,51.08
67,67,2907,27.68,3.64,0.52,52.93
68,68,3019,25.00,3.30,0.59,42.09
69,69,3021,29.55,4.07,0.61,48.38
70,70,2693,27.18,3.66,0.58,46.93
71,71,2950,28.00,3.85,0.54,52.1
72,72,2385,29.34,4.09,0.56,52.8
73,73,2769,28.70,3.97,0.52,55.61
74,74,2962,29.53,4.14,0.55,53.42
75,75,2615,27.99,3.74,0.62,45.07
77,77,2654,29.31,4.02,0.52,56.19
78,78,2268,29.44,4.00,0.67,44.06
79,79,2501,31.77,4.52,0.51,62.08
80,80,2980,26.29,3.50,0.61,43.15
81,81,2371,26.35,3.47,0.70,37.66
82,82,2500,26.92,3.52,0.61,44.41
83,83,2494,29.66,4.13,0.59,50.12
84,84,2550,30.98,4.41,0.55,56.52
85,85,2490,28.38,3.86,0.56,50.57
86,86,2201,28.75,3.83,0.62,46.59
87,87,2719,27.29,3.53,0.67,40.87
89,89,2477,28.16,3.69,0.69,40.77
90,90,2431,29.00,4.02,0.52,55.65
91,91,2640,29.76,4.10,0.61,48.91
92,92,2711,31.08,4.41,0.56,55.61
93,93,2099,29.43,3.98,0.65,45.05
94,94,2319,31.60,4.64,0.52,60.35
95,95,2441,31.43,4.62,0.57,55
96,96,2589,25.39,3.39,0.65,39.15
97,97,2800,27.89,3.84,0.56,49.97
98,98,2847,28.00,3.86,0.68,40.87
99,99,2730,27.76,3.79,0.69,40.19
100,100,2539,27.75,3.85,0.65,42.62
101,101,2490,29.55,4.22,0.53,55.86
102,102,2497,29.81,4.19,0.53,55.96
103,103,2453,28.71,3.92,0.69,41.32
104,104,2746,28.11,3.83,0.53,53.37
105,105,2469,29.98,4.28,0.55,54.58
106,106,2442,29.04,4.06,0.50,57.8
107,107,2087,27.28,3.65,0.61,44.98
108,108,2061,29.36,4.08,0.58,50.39
109,109,2722,29.46,4.17,0.55,53.53
110,110,2657,26.70,3.46,0.55,48.95
111,111,2804,29.51,4.04,0.54,54.16
112,112,2702,29.33,3.99,0.54,54.68
113,113,2143,28.04,3.76,0.56,50.03
114,114,2394,29.17,3.93,0.55,53.49
115,115,2603,28.92,3.88,0.56,51.49
116,116,2419,28.23,3.70,0.62,45.48
117,117,2616,27.22,3.58,0.53,50.97
118,118,2577,27.46,3.60,0.57,48.39
119,119,2524,27.92,3.61,0.54,51.4
120,120,2274,27.93,3.66,0.51,54.67
121,121,2454,28.85,3.82,0.50,57.68
122,122,2415,29.30,3.85,0.60,48.83
123,123,2961,28.89,3.82,0.53,54.15
124,124,2560,26.29,3.37,0.52,50.54
125,125,3023,29.50,3.96,0.55,53.79
126,126,2331,27.25,3.50,0.69,39.38
127,127,2783,29.63,4.02,0.47,63.39
128,128,2772,28.24,3.79,0.57,49.33
129,129,2648,29.61,4.12,0.54,55.29
130,130,2464,28.03,3.77,0.54,51.55
131,131,2499,27.97,3.71,0.60,46.32
132,132,2698,29.69,3.99,0.55,53.55
133,133,2705,28.85,3.87,0.52,55.04
134,134,2219,29.08,3.95,0.52,55.73
135,135,2560,27.55,3.63,0.52,53.16
136,136,2855,28.86,3.86,0.54,53.23
138,138,2308,28.35,3.86,0.61,46.57
139,139,2791,27.55,3.64,0.55,49.67
140,140,2206,28.33,3.79,0.65,43.67
141,141,2759,26.04,3.37,0.76,34.09
142,142,3129,28.71,3.87,0.58,49.69
143,143,2614,27.98,3.74,0.49,56.76
144,144,2834,29.34,3.99,0.55,53.24
145,145,2795,29.24,4.04,0.50,58.13
146,146,2292,29.68,4.07,0.48,61.48
147,147,3025,29.96,4.18,0.54,55.26
148,148,2772,27.92,3.77,0.58,48.35
149,149,2417,28.37,3.78,0.60,47.04
150,150,2897,30.54,4.27,0.51,60.15
151,151,3025,28.20,3.83,0.49,57
152,152,2366,27.70,3.73,0.48,57.22
153,153,2628,29.36,4.01,0.52,56.46
154,154,2199,28.65,3.88,0.50,56.94
155,155,3086,28.52,3.86,0.55,52.01
156,156,2808,27.39,3.63,0.57,48.05
157,157,2747,28.60,3.95,0.53,53.89
158,158,2650,27.04,3.61,0.51,52.94
159,159,2986,28.99,3.82,0.62,46.62
160,160,3015,27.64,3.71,0.50,55.81
161,161,2604,27.63,3.73,0.53,51.79
162,162,2978,26.98,3.56,0.68,39.41
163,163,2587,28.01,3.71,0.58,48.52
164,164,2791,28.09,3.81,0.61,46.08
165,165,2658,27.83,3.73,0.70,39.56
166,166,2570,28.71,3.83,0.53,54.13
167,167,2515,27.50,3.70,0.47,57.89
168,168,2203,28.56,3.92,0.52,54.44
169,169,2534,29.15,3.90,0.60,48.63
170,170,2686,28.20,3.76,0.61,45.94
171,171,2292,27.84,3.70,0.62,45.09
172,172,2501,25.69,3.36,0.64,39.9
173,173,2220,27.84,3.64,0.60,46.67
175,175,2706,26.24,3.37,0.59,44.83
176,176,2128,26.62,3.49,0.49,54.52
177,177,2455,26.12,3.29,0.61,42.56
178,178,2922,25.86,3.29,0.60,42.77
179,179,2615,28.39,3.80,0.56,51.03
180,180,2688,26.40,3.39,0.59,44.78
181,181,2784,27.75,3.71,0.52,53.11
182,182,2773,28.19,3.73,0.44,63.34
183,183,2880,27.16,3.62,0.46,58.48
184,184,3052,27.73,3.66,0.57,48.27
185,185,2328,28.77,3.82,0.57,50.07
186,186,2892,28.04,3.68,0.59,47.65
187,187,2663,29.23,3.91,0.51,57.07
188,188,2599,27.35,3.61,0.49,55.84
200,200,2803,27.62,3.61,0.53,51.83
201,201,2383,28.65,3.77,0.56,51.53
202,202,2323,26.80,3.38,0.54,49.41
203,203,2083,27.64,3.61,0.55,50.68
204,204,2795,28.12,3.76,0.62,45.59
205,205,2226,25.77,3.36,0.70,36.92
206,206,2468,26.89,3.42,0.57,47.49
207,207,2184,25.96,3.33,0.69,37.42
208,208,2477,26.45,3.39,0.67,39.5
209,209,2270,26.94,3.53,0.62,43.76
CG1,CG1,2501,26.37,3.53,0.52,50.5
Cooks 1,Cooks 1,2171,29.49,4.02,0.52,56.34
LTER 3 Back,LTER 3 Back Reef,2637,29.83,4.09,0.55,53.78
LTER 3 Fringe,LTER 3 Fringe Reef,2137,27.92,3.70,0.57,48.6
6 Fringe,LTER 6 Fringe,3068,28.54,3.87,0.58,49.3
OPU 1,OPU 1,2381,27.42,3.58,0.66,41.66
OPU 2,OPU 2,2310,27.06,3.50,0.67,40.22
